,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
72,14.35,-4.8122,-5.1015,-5.2824,-4.4505,-5.3529,-5.6802,-8.2157,-9.091,-11.1617,-3.2171,-4.0255,-2.8482,-5.8068,,-4.8755
73,14.35,-4.8755,-5.1088,-5.2498,-4.4252,-5.3439,-5.6441,-8.1433,-9.0078,-10.2809,-4.0599,-4.1069,-3.4016,-5.6567,50.0,-5.6278
74,14.35,-4.8863,-5.0437,-5.3005,-4.4758,-5.3855,-5.7182,-8.3188,-9.1796,-11.5541,-3.011,-4.0074,-2.8663,-4.3727,48.3778,-3.0526
75,14.35,-4.9026,-5.0744,-5.2932,-4.465,-5.3909,-5.7236,-8.3748,-9.1308,-11.4781,-2.9929,-4.0056,-2.803,-6.4416,50.0,-4.8212
76,14.35,-4.7163,-4.9605,-5.0129,-4.3203,-5.192,-5.5211,-7.608,-8.8703,-8.807,-5.2173,-4.1756,-4.0526,-3.1376,27.3835,-4.4306
77,14.35,-4.5717,,,,,,,,,,,,,,
78,14.35,-4.5554,-4.9677,-5.031,-4.1304,-5.0256,-5.324,-7.2753,-8.5611,-7.5285,-5.8972,-4.1141,-4.5192,-2.8518,20.2727,-4.9315
79,14.35,-4.7652,,,,,,,,,,,,,,
80,14.35,-4.7724,-5.154,-5.2444,-4.3619,-5.2824,-5.6296,-7.7708,-9.0638,-9.5612,-4.4867,-4.1539,-3.6277,-5.3692,,-5.843
81,14.35,-4.6458,-5.1504,-5.1811,-4.3583,-5.2444,-5.5663,-7.684,-8.9228,-9.3659,-5.0527,-4.1214,-3.8573,-5.2516,49.0361,-6.3584
82,14.35,-4.7344,-5.107,-5.125,-4.3112,-5.1703,-5.5121,-7.42,-8.9119,-8.1235,-5.6947,-4.1774,-4.3601,-4.0472,47.3723,-5.8864
83,14.35,-4.6874,,,,,,,,,,,,,,
84,14.35,-4.8393,,,,,,,,,,,,,,
85,14.35,-4.8122,-5.0889,-5.2317,-4.4252,-5.3167,-5.6495,-7.986,-9.0693,-10.4509,-3.7579,-4.0273,-3.1846,-5.9985,,-5.5826
86,14.35,-4.738,,,,,,,,,,,,,,
87,14.35,-4.6512,,,,,,,,,,,,,,
88,14.3,-4.7977,-5.0563,-5.2589,-4.427,-5.3222,-5.6603,-8.1849,-9.0602,-11.0206,-3.1755,-4.0074,-2.9838,-7.5032,,-6.5483
89,14.3,-4.6512,-5.0672,-5.1829,-4.3094,-5.1829,-5.5102,-7.7184,-8.7853,-9.7908,-4.1195,-4.0924,-3.3672,-4.2895,42.4606,-4.1557
90,14.3,-4.9135,-5.1522,-5.2896,-4.4415,-5.3384,-5.7074,-8.2103,-9.147,-10.762,-3.7343,-4.0798,-3.2949,-4.7851,44.1225,-4.3112
91,14.3,-4.7236,-5.0871,-5.1992,-4.2479,-5.0563,-5.3909,-7.3946,-8.6389,-8.0366,-5.834,-4.2335,-4.2552,-2.0959,16.9994,-4.1105
92,14.3,-4.8827,-5.1088,-5.277,-4.4613,-5.3439,-5.6929,-8.3314,-9.1145,-11.4203,-3.1014,-3.9984,-2.7668,-6.6134,45.3089,-5.3149
93,14.3,-4.8918,,,,,,,,,,,,,,
94,14.3,-4.9207,-5.2733,-5.2733,-4.3745,-5.1938,-5.5753,-7.5158,-9.0747,-8.1361,-5.9859,-4.3583,-4.4867,-2.3654,36.2612,-4.5246
95,14.27,-4.8031,,,,,,,,,,,,,,
96,14.27,-4.767,-5.0364,-5.0798,-4.3528,-5.2824,-5.6459,-7.8413,-9.0946,-9.261,-4.937,-4.0978,-3.9568,-4.2461,32.1289,-5.2498
97,14.27,-4.9279,-5.2715,-5.2824,-4.4487,-5.362,-5.7056,-7.7346,-9.3206,-8.2193,-5.9985,-4.2932,-4.5572,-2.9748,39.6267,-5.0744
98,14.27,-4.9153,,,,,,,,,,,,,,
